{ methodName: 'GET', URL: '/', statusCode: '304', responseSize: '-', responseTime: '5.417 ms', date: '2019-01-22T19:52:10.740Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks', statusCode: '200', responseSize: '-', responseTime: '15.088 ms', date: '2019-01-24T04:28:54.956Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks/tags?names=kishan', statusCode: '200', responseSize: '-', responseTime: '14.707 ms', date: '2019-01-24T04:30:13.173Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks', statusCode: '200', responseSize: '-', responseTime: '2.303 ms', date: '2019-01-24T04:30:43.436Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'POST', URL: '/bookmarks', statusCode: '200', responseSize: '-', responseTime: '363.058 ms', date: '2019-01-24T04:32:21.055Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/bookmarks', statusCode: '200', responseSize: '-', responseTime: '11.421 ms', date: '2019-01-24T04:32:24.712Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/Z1jMlRG', statusCode: '404', responseSize: '-', responseTime: '1.610 ms', date: '2019-01-24T04:32:51.183Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1jMlRG', statusCode: '302', responseSize: '-', responseTime: '29.239 ms', date: '2019-01-24T04:33:07.432Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1USYUD', statusCode: '200', responseSize: '-', responseTime: '5.586 ms', date: '2019-01-24T04:33:21.106Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/favicon.ico', statusCode: '404', responseSize: '-', responseTime: '1.441 ms', date: '2019-01-24T04:33:21.783Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1jMlRG', statusCode: '302', responseSize: '-', responseTime: '10.114 ms', date: '2019-01-24T04:33:28.548Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1jMlRG', statusCode: '302', responseSize: '-', responseTime: '6.394 ms', date: '2019-01-24T04:35:07.967Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/Z1jMlRG', statusCode: '200', responseSize: '-', responseTime: '4.293 ms', date: '2019-01-24T04:35:19.972Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/Z1jMlRG', statusCode: '200', responseSize: '-', responseTime: '1.226 ms', date: '2019-01-24T04:36:16.591Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'PATCH', URL: '/bookmarks/5c493fd4cf8f2d2c28b5207c', statusCode: '200', responseSize: '-', responseTime: '42.380 ms', date: '2019-01-24T04:36:33.168Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1jMlRG', statusCode: '302', responseSize: '-', responseTime: '8.147 ms', date: '2019-01-24T04:36:46.656Z', remoteAddress: '::1', remoteUser: '-' }
{ methodName: 'GET', URL: '/hash/Z1jMlRG', statusCode: '302', responseSize: '-', responseTime: '9.906 ms', date: '2019-01-24T04:37:28.615Z', remoteAddress: '::1', remoteUser: '-' }
